text,label,phishing_type,severity,confidence
Thank you for contacting support. Your ticket #SUP-48291 has been created. We will respond within 1 business day. Reference this number for any follow-ups.,0,legitimate,low,0.03
"Hi Sarah, hope you are doing well! I wanted to follow up on the project timeline we discussed last Tuesday. Can we schedule a call this week to go over deliverables?",0,legitimate,low,0.02
Your monthly bank statement for June 2024 is now available. Log in to your account at the official bank website to view your statement. This is an automated notification.,0,legitimate,low,0.01
"Welcome to the team! We are excited to have you join us. Your onboarding documents are attached. Please complete and return by your first day, Monday August 5.",0,legitimate,low,0.02
"Newsletter: 5 tips to improve your productivity this week. Read the full article on our blog. To unsubscribe from future emails, click the link below.",0,legitimate,low,0.03
"Flight confirmation: UA 4892 departing Chicago ORD on August 14 at 2:30 PM, arriving Los Angeles LAX at 5:45 PM. Confirmation: XPQR73. Check in online 24 hours before.",0,legitimate,low,0.01
Reminder: your annual performance review is scheduled for next Wednesday at 3 PM with your manager. Please complete your self-assessment form in HR by Monday.,0,legitimate,low,0.02
Your subscription has been renewed. You have been charged $9.99 for the monthly plan. This will appear on your statement as STREAMINGCO. Contact support with questions.,0,legitimate,low,0.01
"Hi John, I reviewed the proposal you sent. Overall it looks solid. I have a few suggestions on the pricing section. Can we chat tomorrow afternoon? Best, Mark",0,legitimate,low,0.03
Your appointment with Dr. Johnson is confirmed for July 15 at 2:00 PM at 123 Medical Center Drive. Please arrive 15 minutes early to complete paperwork. Call 555-1234 to reschedule.,0,legitimate,low,0.02
JIRA: New issue assigned to you - BUG-2847: Login page shows error on mobile Safari. Priority: High. Due: July 10. Click to view details and update status.,0,legitimate,low,0.01
Your pull request #142 has been approved and merged into main. Build status: passing. Deployment to staging will complete in approximately 10 minutes.,0,legitimate,low,0.02
Quarterly earnings call transcript now available. Q2 2024 results exceeded analyst expectations with revenue up 12% year-over-year. View the full investor relations page for details.,0,legitimate,low,0.01
Library reminder: items checked out are due in 3 days. You can renew them online at library.org/my-account or in person at any branch location.,0,legitimate,low,0.03
Your Zoom meeting is starting in 10 minutes. Topic: Q3 Marketing Strategy. Meeting ID: 893 4721 0834. Passcode: mktg2024. Join from your computer or mobile device.,0,legitimate,low,0.01
Thank you for your purchase at TechStore. Order #TS-294847 for USB-C Hub (x2) totaling $59.98 has been processed. Estimated delivery: 3-5 business days.,0,legitimate,low,0.02
Your Slack workspace backup completed. 847 messages archived. Storage used: 2.3 GB of 10 GB. Next backup scheduled for Monday at 3 AM UTC.,0,legitimate,low,0.01
"Invoice #4921 from Acme Supplies LLC for $1,245.00 is due. Payment terms: Net 30. Please remit to the bank account on file. Contact accounting@acmesupplies.com with questions.",0,legitimate,low,0.02
"Your GitHub Actions workflow completed successfully. CI Pipeline on branch main: 127 tests passed, 0 failed. Deployment to production initiated.",0,legitimate,low,0.01
Please welcome our new software engineer Jane Doe joining the backend team Monday. Jane has 5 years of Python and cloud infrastructure experience.,0,legitimate,low,0.02
"Good morning! Your daily digest for July 6: Top stories in technology, markets, and science. Curated by our editors. Read more at the news portal.",0,legitimate,low,0.01
Your package from Etsy has been delivered to your front door. Order: Handmade ceramic mug set. Leave a review to help the seller grow their small business.,0,legitimate,low,0.02
"Your password was changed successfully on July 5 at 9:14 AM. If you did not make this change, contact our support team immediately at support@company.com.",0,legitimate,low,0.03
Homework reminder: Chapter 7 reading is due Thursday. Quiz on chapters 5-7 next Monday. Office hours: Tuesdays 2-4 PM and Thursdays 1-3 PM in Room 201.,0,legitimate,low,0.01
